0=正确|Correct
8213=撤消报价操作字段检查ACTIONFLAG错误|Invalid Quoteactionflag field
8214=报价单的用户本地报单编号次序错误|Invalid QuotelocalIDnotinorder
8215=报价操作字段检查ACTIONFLAG错误，只支持DELETE|"Invalid Quoteactionflag field, only supports delete"
8216=不能撤销他人的报价单|Can not withdraw otherinvestorquote
8217=报价系统编号找不到|Can not find QuotesystemID
8218=InvestorID 不能为空|InvestorID can not be blank
8219=InstrumentID 不能为空|InstrumentID can not be blank
8220=ExchangeID 不能为空|ExchangeID can not be blank
8221=ClientID 不能为空|ClientID can not be blank
8222=系统报价编号和本地报价编号不能同时为空|QuoteactionlocalID and SysID can not be blank simultaneously
8223=在Quote未经交易系统确认时， 不允许撤单腿Order|Can not withdraw order of unconfirmedquote
8224=找不到客户费率模板|Can not find client margin fee template
8230=金额字段错误|Invalid Amount field
8231=出入金方向字段错误|Invalid AmountDirection field
8232=投资者资金账户不存在|Investor Account not exist
8233=今天转账次数已经超过限制|Number of transfer times exceed limit
8234=今天转账总额已经超过限制|Total transfered money exceed limit
8235=本次转账金额超过限制|Transfering money amount exceed limit
8236=资金账户找不到|Cannot found investor's accountid
8237=客户持仓不足|Client has no enough positions
8238=组合操作请求编号字段错误|Bad Combination request localid field
8239=组合操作用户本地编号错误|Bad user combination request field
8240=组合操作合约字段错误|Bad Combination request instrumentid field
8241=组合操作量字段错误|Bad Combination request volume field
8242=组合操作方向字段错误|Bad Combination request direction field
8243=不支持策略组合保证金|Not support combMargin strategy
8244=组合操作字段错误|Bad combination request field
8300=监管规则找不到|Cannot found audit rule
8301=申报价格幅度太大|Price amplitude is too large!
8321=合约当前状态不可报单|Cannot Trading when the insturment is not active!
8322=超过报单（含撤单）申报次数|exceed the max input times !
8323=超过单位时间内委托（含撤单）次数|exceed the max input times per unit!
8324=超过单次平仓手数|exCeed the max open volume!
8325=超过单次开仓手数|exCeed the max close volume!
8326=超过单位时间单次平仓手数|exceed the max close volume per unit!
8327=超过单位时间开仓手数|exCeed the max open volume per unit!
8328=超过涨跌停板价格申报的次数|exCeed the max input times in limit price !
8329=超过涨跌停板价格撤销申报的次数|exCeed the max ordercancel times in limit price!
8330=超过自成交次数|exCeed the max selftraded times!
8331=超过日内撤单次数|exCeed the daily max ordercancel times!
8332=超过日内开仓限制|exCeed the daily max open position limit!
8333=银行代码字段错误|Invalid Bankid field
8334=入金银行密码字段错误|Invalid BankPasswd field
8335=出金主席密码字段错误|Invalid AccountPasswd field
8380=找不到报单处理器|Can not find Order Handler!
8381=找不到成交处理器|Can not find Trade Handler!
8382=找不到撤单处理器|Can not find Action Handler!
8383=找不到组保处理器|Can not find MarginComb Action Handler!
8390=投套保标识与套利类型不匹配|hedgefalg and arbitype mismatch
8391=套利类型不匹配|order arbitype mismatch
8392=该交易所不支持该报单|Not support order
8400=请求确认经纪公司编号为空|Settlementinfo confirm brokerid is null!
